Date,AAPL,MSFT,GOOGL,^GSPC,BRK-A,AMZN
2018-04-27 00:00:00-04:00,38.480377197265625,89.69631958007812,51.5724983215332,2669.909912109375,295995.0,78.63099670410156
2018-04-30 00:00:00-04:00,39.17734146118164,87.54332733154297,50.92900085449219,2648.050048828125,290650.0,78.30650329589844
2018-05-01 00:00:00-04:00,40.087684631347656,88.9287338256836,52.037498474121094,2654.800048828125,292730.0,79.11299896240234
2018-05-02 00:00:00-04:00,41.85855484008789,87.53398132324219,51.3025016784668,2635.669921875,290450.0,78.48400115966797
2018-05-03 00:00:00-04:00,41.93440628051758,88.05815887451172,51.314998626708984,2629.72998046875,287051.0,78.60399627685547
2018-05-04 00:00:00-04:00,43.57964324951172,89.07850646972656,52.54999923706055,2663.419921875,292600.0,79.04750061035156
2018-05-07 00:00:00-04:00,43.894935607910156,90.07076263427734,52.972999572753906,2672.6298828125,295600.0,80.00700378417969
2018-05-08 00:00:00-04:00,44.10592269897461,89.68696594238281,52.929500579833984,2671.919921875,295700.0,79.61949920654297
2018-05-09 00:00:00-04:00,44.41647720336914,90.74473571777344,54.4474983215332,2697.7900390625,299991.0,80.4000015258789
2018-05-10 00:00:00-04:00,45.05180358886719,91.65274810791016,55.27349853515625,2723.070068359375,301630.0,80.4540023803711
2018-05-11 00:00:00-04:00,44.88046646118164,91.4561996459961,55.16899871826172,2727.719970703125,298770.0,80.14550018310547
2018-05-14 00:00:00-04:00,44.775753021240234,91.76507568359375,55.33000183105469,2730.1298828125,298200.0,80.0770034790039
2018-05-15 00:00:00-04:00,44.36880874633789,91.1004638671875,54.243499755859375,2711.449951171875,296200.0,78.80599975585938
2018-05-16 00:00:00-04:00,44.782894134521484,91.33549499511719,54.204498291015625,2722.4599609375,296300.0,79.36399841308594
2018-05-17 00:00:00-04:00,44.499698638916016,90.42355346679688,54.0629997253418,2720.1298828125,296440.0,79.08799743652344
2018-05-18 00:00:00-04:00,44.3378791809082,90.5927734375,53.481998443603516,2712.969970703125,294380.0,78.71849822998047
2018-05-21 00:00:00-04:00,44.65200424194336,91.75856018066406,54.20050048828125,2733.010009765625,296620.0,79.27300262451172
2018-05-22 00:00:00-04:00,44.5401496887207,91.6645278930664,53.765499114990234,2724.43994140625,296991.0,79.06999969482422
2018-05-23 00:00:00-04:00,44.825740814208984,92.755126953125,54.29800033569336,2733.2900390625,294400.0,80.09300231933594
2018-05-24 00:00:00-04:00,44.775753021240234,92.42607116699219,54.272499084472656,2727.760009765625,291850.0,80.15350341796875
2018-05-25 00:00:00-04:00,44.87808609008789,92.47308349609375,54.20399856567383,2721.330078125,290886.0,80.50749969482422
2018-05-29 00:00:00-04:00,44.71626663208008,92.14400482177734,53.403499603271484,2689.860107421875,286000.0,80.64350128173828
2018-05-30 00:00:00-04:00,44.62106704711914,93.02776336669922,53.87350082397461,2724.010009765625,292000.0,81.24449920654297
2018-05-31 00:00:00-04:00,44.47114944458008,92.92435455322266,55.0,2705.27001953125,287200.0,81.48100280761719
2018-06-01 00:00:00-04:00,45.273136138916016,94.75763702392578,56.75,2734.6201171875,289200.0,82.0770034790039
2018-06-04 00:00:00-04:00,45.651519775390625,95.58497619628906,57.652000427246094,2746.8701171875,288000.0,83.26349639892578
2018-06-05 00:00:00-04:00,46.00373458862305,96.0738525390625,57.55099868774414,2748.800048828125,286700.0,84.81749725341797
2018-06-06 00:00:00-04:00,46.16317367553711,96.35590362548828,57.34749984741211,2772.35009765625,290722.0,84.7874984741211
2018-06-07 00:00:00-04:00,46.0394287109375,94.8422622680664,56.72100067138672,2770.3701171875,292900.0,84.46499633789062
2018-06-08 00:00:00-04:00,45.620574951171875,95.54735565185547,56.635501861572266,2779.030029296875,294055.0,84.19950103759766
2018-06-11 00:00:00-04:00,45.50872802734375,95.0020980834961,57.04499816894531,2782.0,292770.0,84.45600128173828
2018-06-12 00:00:00-04:00,45.75860595703125,95.24652099609375,57.40950012207031,2786.85009765625,293005.0,84.9375
2018-06-13 00:00:00-04:00,45.382606506347656,94.81404113769531,57.21149826049805,2775.6298828125,292769.0,85.24299621582031
2018-06-14 00:00:00-04:00,45.406402587890625,95.34992980957031,58.00550079345703,2782.489990234375,289670.0,86.19300079345703
2018-06-15 00:00:00-04:00,44.93996047973633,94.13713836669922,57.9635009765625,2779.659912109375,287626.0,85.79850006103516
2018-06-18 00:00:00-04:00,44.91615295410156,94.82345581054688,59.17900085449219,2773.75,287600.0,86.18949890136719
